Max Depth Setting,Actual Depth,Tree Nodes,Tree Leaves,Test Accuracy
Unlimited,5,25,13,0.9855
2,2,7,4,0.9710
3,3,13,7,0.9710
4,4,21,11,0.9855
5,5,25,13,0.9855
6,5,25,13,0.9855
7,5,25,13,0.9855
